Title,IMDb Link
The Terminator,https://www.imdb.com/title/tt0088247/?ref_=sr_i_82
Scarface,https://www.imdb.com/title/tt0086250/?ref_=sr_i_83
Dune: Part One,https://www.imdb.com/title/tt1160419/?ref_=sr_i_84
Snatch,https://www.imdb.com/title/tt0208092/?ref_=sr_i_85
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=sr_i_86
Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=sr_i_87
Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/?ref_=sr_i_88
Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=sr_i_89
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=sr_i_90
12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=sr_i_91
A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=sr_i_92
The Revenant,https://www.imdb.com/title/tt1663202/?ref_=sr_i_93
Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=sr_i_94
The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/?ref_=sr_i_95
Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/?ref_=sr_i_96
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=sr_i_97
Slumdog Millionaire,https://www.imdb.com/title/tt1010048/?ref_=sr_i_98
300,https://www.imdb.com/title/tt0416449/?ref_=sr_i_99
The Big Lebowski,https://www.imdb.com/title/tt0118715/?ref_=sr_i_100
Captain America: Civil War,https://www.imdb.com/title/tt3498820/?ref_=sr_i_101
Logan,https://www.imdb.com/title/tt3315342/?ref_=sr_i_102
The Hangover,https://www.imdb.com/title/tt1119646/?ref_=sr_i_103
Gravity,https://www.imdb.com/title/tt1454468/?ref_=sr_i_104
Donnie Darko,https://www.imdb.com/title/tt0246578/?ref_=sr_i_105
Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=sr_i_106
Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com/title/tt0121766/?ref_=sr_i_107
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=sr_i_108
Prisoners,https://www.imdb.com/title/tt1392214/?ref_=sr_i_109
The Batman,https://www.imdb.com/title/tt1877830/?ref_=sr_i_110
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=sr_i_111
Black Swan,https://www.imdb.com/title/tt0947798/?ref_=sr_i_112
Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=sr_i_113
The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=sr_i_114
Thor: Ragnarok,https://www.imdb.com/title/tt3501632/?ref_=sr_i_115
The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=sr_i_116
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=sr_i_117
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=sr_i_118
Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=sr_i_119
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=sr_i_120
Kill Bill: Vol. 2,https://www.imdb.com/title/tt0378194/?ref_=sr_i_121
City of God,https://www.imdb.com/title/tt0317248/?ref_=sr_i_122
Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=sr_i_123
Amélie,https://www.imdb.com/title/tt0211915/?ref_=sr_i_124
Knives Out,https://www.imdb.com/title/tt8946378/?ref_=sr_i_125
Arrival,https://www.imdb.com/title/tt2543164/?ref_=sr_i_126
Sin City,https://www.imdb.com/title/tt0401792/?ref_=sr_i_127
Aliens,https://www.imdb.com/title/tt0090605/?ref_=sr_i_128
The Social Network,https://www.imdb.com/title/tt1285016/?ref_=sr_i_129
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=sr_i_130
Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=sr_i_131
Edge of Tomorrow,https://www.imdb.com/title/tt1631867/?ref_=sr_i_132
X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/?ref_=sr_i_133
Shrek,https://www.imdb.com/title/tt0126029/?ref_=sr_i_134
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=sr_i_135
12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=sr_i_136
Silver Linings Playbook,https://www.imdb.com/title/tt1045658/?ref_=sr_i_137
Get Out,https://www.imdb.com/title/tt5052448/?ref_=sr_i_138
Fargo,https://www.imdb.com/title/tt0116282/?ref_=sr_i_139
Heat,https://www.imdb.com/title/tt0113277/?ref_=sr_i_140
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=sr_i_141
Skyfall,https://www.imdb.com/title/tt1074638/?ref_=sr_i_142
Kingsman: The Secret Service,https://www.imdb.com/title/tt2802144/?ref_=sr_i_143
Psycho,https://www.imdb.com/title/tt0054215/?ref_=sr_i_144
Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=sr_i_145
X-Men: First Class,https://www.imdb.com/title/tt1270798/?ref_=sr_i_146
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=sr_i_147
Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=sr_i_148
District 9,https://www.imdb.com/title/tt1136608/?ref_=sr_i_149
Drive,https://www.imdb.com/title/tt0780504/?ref_=sr_i_150
The Hobbit: The Desolation of Smaug,https://www.imdb.com/title/tt1170358/?ref_=sr_i_151
Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/?ref_=sr_i_152
Pan's Labyrinth,https://www.imdb.com/title/tt0457430/?ref_=sr_i_153
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=sr_i_154
1917,https://www.imdb.com/title/tt8579674/?ref_=sr_i_155
The King's Speech,https://www.imdb.com/title/tt1504320/?ref_=sr_i_156
The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/?ref_=sr_i_157
Casino Royale,https://www.imdb.com/title/tt0381061/?ref_=sr_i_158
Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=sr_i_159
Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/?ref_=sr_i_160
La La Land,https://www.imdb.com/title/tt3783958/?ref_=sr_i_161
Rogue One: A Star Wars Story,https://www.imdb.com/title/tt3748528/?ref_=sr_i_162
Blade Runner 2049,https://www.imdb.com/title/tt1856101/?ref_=sr_i_163
Deadpool 2,https://www.imdb.com/title/tt5463162/?ref_=sr_i_164
Her,https://www.imdb.com/title/tt1798709/?ref_=sr_i_165
Home Alone,https://www.imdb.com/title/tt0099785/?ref_=sr_i_166
Jaws,https://www.imdb.com/title/tt0073195/?ref_=sr_i_167
The Hateful Eight,https://www.imdb.com/title/tt3460252/?ref_=sr_i_168
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=sr_i_169
Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/?ref_=sr_i_170
Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=sr_i_171
Oldboy,https://www.imdb.com/title/tt0364569/?ref_=sr_i_172
The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/?ref_=sr_i_173
There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=sr_i_174
12 Monkeys,https://www.imdb.com/title/tt0114746/?ref_=sr_i_175
Cast Away,https://www.imdb.com/title/tt0162222/?ref_=sr_i_176
Rocky,https://www.imdb.com/title/tt0075148/?ref_=sr_i_177
Taken,https://www.imdb.com/title/tt0936501/?ref_=sr_i_178
Argo,https://www.imdb.com/title/tt1024648/?ref_=sr_i_179
The Notebook,https://www.imdb.com/title/tt0332280/?ref_=sr_i_180
Ocean's Eleven,https://www.imdb.com/title/tt0240772/?ref_=sr_i_181
Toy Story 2,https://www.imdb.com/title/tt0120363/?ref_=sr_i_182
Coco,https://www.imdb.com/title/tt2380307/?ref_=sr_i_183
L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=sr_i_184
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=sr_i_185
Nightcrawler,https://www.imdb.com/title/tt2872718/?ref_=sr_i_186
Zodiac,https://www.imdb.com/title/tt0443706/?ref_=sr_i_187
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=sr_i_188
Star Trek,https://www.imdb.com/title/tt0796366/?ref_=sr_i_189
Casablanca,https://www.imdb.com/title/tt0034583/?ref_=sr_i_190
Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/?ref_=sr_i_191
Green Book,https://www.imdb.com/title/tt6966692/?ref_=sr_i_192
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=sr_i_193
Shaun of the Dead,https://www.imdb.com/title/tt0365748/?ref_=sr_i_194
Ex Machina,https://www.imdb.com/title/tt0470752/?ref_=sr_i_195
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=sr_i_196
Blood Diamond,https://www.imdb.com/title/tt0450259/?ref_=sr_i_197
Minority Report,https://www.imdb.com/title/tt0181689/?ref_=sr_i_198
Watchmen,https://www.imdb.com/title/tt0409459/?ref_=sr_i_199
Back to the Future Part II,https://www.imdb.com/title/tt0096874/?ref_=sr_i_200
The Bourne Identity,https://www.imdb.com/title/tt0258463/?ref_=sr_i_201
Casino,https://www.imdb.com/title/tt0112641/?ref_=sr_i_202
The Pursuit of Happyness,https://www.imdb.com/title/tt0454921/?ref_=sr_i_203
500 Days of Summer,https://www.imdb.com/title/tt1022603/?ref_=sr_i_204
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=sr_i_205
Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=sr_i_206
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=sr_i_207
Zootopia,https://www.imdb.com/title/tt2948356/?ref_=sr_i_208
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=sr_i_209
The Perks of Being a Wallflower,https://www.imdb.com/title/tt1659337/?ref_=sr_i_210
Rain Man,https://www.imdb.com/title/tt0095953/?ref_=sr_i_211
Hot Fuzz,https://www.imdb.com/title/tt0425112/?ref_=sr_i_212
Kung Fu Panda,https://www.imdb.com/title/tt0441773/?ref_=sr_i_213
Children of Men,https://www.imdb.com/title/tt0206634/?ref_=sr_i_214
Edward Scissorhands,https://www.imdb.com/title/tt0099487/?ref_=sr_i_215
Rear Window,https://www.imdb.com/title/tt0047396/?ref_=sr_i_216
The Butterfly Effect,https://www.imdb.com/title/tt0289879/?ref_=sr_i_217
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=sr_i_218
Little Miss Sunshine,https://www.imdb.com/title/tt0449059/?ref_=sr_i_219
Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=sr_i_220
Rush,https://www.imdb.com/title/tt1979320/?ref_=sr_i_221
Big Hero 6,https://www.imdb.com/title/tt2245084/?ref_=sr_i_222
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=sr_i_223
The Fifth Element,https://www.imdb.com/title/tt0119116/?ref_=sr_i_224
Tangled,https://www.imdb.com/title/tt0398286/?ref_=sr_i_225
Spotlight,https://www.imdb.com/title/tt1895587/?ref_=sr_i_226
Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=sr_i_227
Warrior,https://www.imdb.com/title/tt1291584/?ref_=sr_i_228
The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/?ref_=sr_i_229
The Help,https://www.imdb.com/title/tt1454029/?ref_=sr_i_230
Lost in Translation,https://www.imdb.com/title/tt0335266/?ref_=sr_i_231
The Big Short,https://www.imdb.com/title/tt1596363/?ref_=sr_i_232
Captain Phillips,https://www.imdb.com/title/tt1535109/?ref_=sr_i_233
Star Trek Into Darkness,https://www.imdb.com/title/tt1408101/?ref_=sr_i_234
Sicario,https://www.imdb.com/title/tt3397884/?ref_=sr_i_235
Mystic River,https://www.imdb.com/title/tt0327056/?ref_=sr_i_236
The Bourne Supremacy,https://www.imdb.com/title/tt0372183/?ref_=sr_i_237
The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=sr_i_238
The Thing,https://www.imdb.com/title/tt0084787/?ref_=sr_i_239
Training Day,https://www.imdb.com/title/tt0139654/?ref_=sr_i_240
Beauty and the Beast,https://www.imdb.com/title/tt0101414/?ref_=sr_i_241
Saw,https://www.imdb.com/title/tt0387564/?ref_=sr_i_242
The Last Samurai,https://www.imdb.com/title/tt0325710/?ref_=sr_i_243
Aladdin,https://www.imdb.com/title/tt0103639/?ref_=sr_i_244
Moneyball,https://www.imdb.com/title/tt1210166/?ref_=sr_i_245
Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=sr_i_246
Howl's Moving Castle,https://www.imdb.com/title/tt0347149/?ref_=sr_i_247
In Bruges,https://www.imdb.com/title/tt0780536/?ref_=sr_i_248
Wreck-It Ralph,https://www.imdb.com/title/tt1772341/?ref_=sr_i_249
The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=sr_i_250
Predator,https://www.imdb.com/title/tt0093773/?ref_=sr_i_251
American Gangster,https://www.imdb.com/title/tt0765429/?ref_=sr_i_252
Ghostbusters,https://www.imdb.com/title/tt0087332/?ref_=sr_i_253
