Title,IMDb Link
The Last Airbender,https://www.imdb.com/title/tt0938283/?ref_=sr_i_82
Transformers: The Last Knight,https://www.imdb.com/title/tt3371366/?ref_=sr_i_83
White Chicks,https://www.imdb.com/title/tt0381707/?ref_=sr_i_85
The Mummy: Tomb of the Dragon Emperor,https://www.imdb.com/title/tt0859163/?ref_=sr_i_86
London Has Fallen,https://www.imdb.com/title/tt3300542/?ref_=sr_i_87
Old,https://www.imdb.com/title/tt10954652/?ref_=sr_i_88
Scream 3,https://www.imdb.com/title/tt0134084/?ref_=sr_i_89
Saw IV,https://www.imdb.com/title/tt0890870/?ref_=sr_i_90
F9: The Fast Saga,https://www.imdb.com/title/tt5433138/?ref_=sr_i_91
Wild Wild West,https://www.imdb.com/title/tt0120891/?ref_=sr_i_92
Pixels,https://www.imdb.com/title/tt2120120/?ref_=sr_i_93
Hercules,https://www.imdb.com/title/tt1267297/?ref_=sr_i_94
The Green Hornet,https://www.imdb.com/title/tt0990407/?ref_=sr_i_95
I Know What You Did Last Summer,https://www.imdb.com/title/tt0119345/?ref_=sr_i_96
Abraham Lincoln: Vampire Hunter,https://www.imdb.com/title/tt1611224/?ref_=sr_i_97
Scary Movie 3,https://www.imdb.com/title/tt0306047/?ref_=sr_i_98
Mulan,https://www.imdb.com/title/tt4566758/?ref_=sr_i_99
Morbius,https://www.imdb.com/title/tt5108870/?ref_=sr_i_100
Final Destination 3,https://www.imdb.com/title/tt0414982/?ref_=sr_i_101
Pathaan,https://www.imdb.com/title/tt12844910/?ref_=sr_i_102
Jennifer's Body,https://www.imdb.com/title/tt1131734/?ref_=sr_i_103
Evan Almighty,https://www.imdb.com/title/tt0413099/?ref_=sr_i_104
Mr. Deeds,https://www.imdb.com/title/tt0280590/?ref_=sr_i_105
I Now Pronounce You Chuck & Larry,https://www.imdb.com/title/tt0762107/?ref_=sr_i_106
The Other Woman,https://www.imdb.com/title/tt2203939/?ref_=sr_i_107
Brüno,https://www.imdb.com/title/tt0889583/?ref_=sr_i_108
Joker: Folie à Deux,https://www.imdb.com/title/tt11315808/?ref_=sr_i_109
